smiles,id,-logKd/Ki
CC(=O)NC(CCC(=O)[O-])C(=O)[O-],3zzf,0.40000000000000002
C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,3gww,0.45000000000000001
CC(=O)N1CCCC(C)C1,1w8l,0.48999999999999999
Nc1cccc(C(=O)[O-])c1,3fqa,0.48999999999999999
CC(=O)Nc1nnc(S(N)(=O)=O)s1,1zsb,0.59999999999999998
[NH3+]C(CF)(Cc1c[nH]c2ccccc12)C(=O)[O-],4obv,0.75
CSCCC([NH3+])C(=O)[O-],1wkm,0.81999999999999995
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],4eu3,0.81999999999999995
OCC(O)CO,2w97,0.95999999999999996
C[NH2+]CCCCC([NH3+])C(=O)[O-],1p0y,1.0
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2b1r,1.0
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2d2v,1.0
NC(=[NH2+])NCCCO,2a31,1.01
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,3fl9,1.1100000000000001
O=C([O-])CCC(=O)[O-],4lh2,1.24
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],4to8,1.24
NC(=[NH2+])NCC([NH3+])C(=O)[O-],4fci,1.26
NC(=[NH2+])NCC([NH3+])C(=O)[O-],4fck,1.26
O=C1OC(C(O)CO)C(O)=C1O,1f9g,1.28
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O.OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,1a0t,1.3
NC(=O)CCC([NH3+])C(=O)[O-],1b74,1.3
O=C([O-])CC(=O)[O-],2fah,1.3
[NH3+]CC(=O)N1CCCC1C(=O)[O-],2igw,1.3100000000000001
[NH3+]CC(=O)NCC(=O)[O-],2vl1,1.3500000000000001
[NH3+]C(CO)(CO)CO,3nm6,1.3500000000000001
CC(=O)C(N)=O,1qpb,1.3600000000000001
CC(O)CC(C)(C)O,1hty,1.3999999999999999
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],1o4l,1.3999999999999999
O=C([O-])CC(=O)[O-],1o4m,1.3999999999999999
O=C([O-])C(=O)[O-],1o4n,1.3999999999999999
O=C([O-])c1cccs1,2hdq,1.3999999999999999
CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)CO,3e81,1.4299999999999999
