id,target,smile
CHEMBL551170,6.2,Clc1ccc(cc1C(=O)NCC23CC4CC(CC(C4)C2)C3)N5N=CC(=O)NC5=O
CHEMBL2104782,2.0,CCCc1c2CCCCc2cc3C(=O)C=C(Oc13)C(=O)O
CHEMBL278255,5.77,NC1CCN(C1)c2c(F)cc3C(=O)C(=CN(C4CC4)c3c2Cl)C(=O)O
CHEMBL402986,7.0,C[C@H](CO)Nc1nc(SCc2ccccc2)nc3NC(=O)Sc13
CHEMBL2207662,8.3,O[C@H](CNC(=O)C1=CNC(=O)C=C1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3
CHEMBL472,3.76,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3
CHEMBL1778651,3.2,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2OC(C)(C)C(=O)O)C(F)(F)F
CHEMBL51628,7.58,Oc1ccc2C=CC(=O)Oc2c1
CHEMBL1917446,3.7,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)S(=O)(=O)c3ccc(Cl)cc3
CHEMBL29,3.32,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
CHEMBL31088,8.97,CNCCc1ccc(O)c(O)c1
CHEMBL2171015,4.3,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)S(=O)(=O)NC(=O)c4ccccc4)cc1Cl
CHEMBL2158829,3.7,OC(=O)COc1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL6259,5.81,CN1CCN(CC1)c2cc3N(C=C(C(=O)O)C(=O)c3cc2F)c4ccc(F)cc4
CHEMBL866,4.76,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)O
CHEMBL2171041,6.6,CN(C)c1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL1072,3.49,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O
CHEMBL256668,7.5,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3NC(=O)C=Nc13
CHEMBL1207579,2.0,CCCc1c2OC(=CC(=O)c2cc3c(NC)cc(nc13)C(=O)O)C(=O)O
CHEMBL257830,5.9,NS(=O)(=O)NC(=O)CCCc1c([nH]c2ccc(cc12)C#N)c3ccc(F)cc3
CHEMBL2011441,4.1,COc1nc(Br)cnc1NS(=O)(=O)c2ccc(Cl)s2
CHEMBL100345,4.4,CN1C(=O)N(C)c2[nH]nnc2C1=O
CHEMBL1934267,4.5,CC(C)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c2ccc(C)cc2
CHEMBL1643200,3.1,Cc1cc(CN2Cc3ccccc3C[C@H]2C(=O)Nc4ccc(Cl)cc4Cl)ccc1OCC(=O)O
CHEMBL2208422,10.1,O[C@H](CNS(=O)(=O)c1cccc(c1)C#N)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3
CHEMBL440405,5.2,CS(=O)(=O)NC(=O)CCCc1c([nH]c2ccc(cc12)C#N)c3ccc(F)cc3
CHEMBL1643194,3.1,Cc1cc(CN2Cc3ccccc3C2C(=O)Nc4ccc(Cl)cc4Cl)ccc1OCC(=O)O
CHEMBL288959,9.05,Nc1nc(O)cc(n1)c2ccccc2
CHEMBL9861,8.8,[O-][S+](Cc1ccccn1)c2nc3ccccc3[nH]2
CHEMBL1916263,5.3,CCC(CC)NC(=O)c1cn(nc1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3
CHEMBL95804,7.52,CCN(CC)CCNC(=O)c1ccc(NS(=O)(=O)C)cc1
CHEMBL1778612,2.7,OC(=O)COc1ccc(cc1c2ccccc2)[N+](=O)[O-]
CHEMBL139,3.89,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
CHEMBL369274,8.75,CCCN(CCC)CCc1ccc(O)c(NC(=O)C)c1
CHEMBL2158824,4.55,OC(=O)c1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL1778646,3.4,CCS(=O)(=O)c1ccc(c(Cl)c1)c2cc(Cl)ccc2OCC(=O)O
CHEMBL4,6.08,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O
CHEMBL561,5.82,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12
CHEMBL214350,2.4,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(cccc34)C(F)(F)F
CHEMBL897,3.36,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O
CHEMBL850,6.31,C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O
CHEMBL2171034,3.0,Fc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL622,4.15,CCc1cccc2c3CCOC(CC)(CC(=O)O)c3[nH]c12
CHEMBL184,9.26,Nc1nc(O)c2ncn(COCCO)c2n1
CHEMBL370492,4.34,CCc1nc2cc(O)ccc2c(Oc3ccc(\C=C\C(=O)O)cc3)c1c4ccccc4
CHEMBL292500,4.9,NCC1CCC(CC1)C(=O)O
CHEMBL267648,6.28,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCN(C)CC3
CHEMBL2171024,3.4,OC(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL1071,3.87,OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3
