id,target,smile
CHEMBL357782,4.3,C(Sc1oc2ccccc2n1)c3ccccn3
CHEMBL387125,2.7,CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc3N(CC(C)C)C(=O)N(C)C(=O)c13
CHEMBL2171022,8.2,OC(=O)COc1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL1194666,8.8,CCN(CC)C(C)C(=O)c1ccccc1
CHEMBL1369407,8.8,CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5
CHEMBL1739830,7.03,C(Sc1oc(nn1)[C@@H]2CCCN2)c3ccccc3
CHEMBL432733,4.37,Cc1c(O)nc(N)nc1c2ccccc2
CHEMBL2207662,7.7,O[C@H](CNC(=O)C1=CNC(=O)C=C1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3
CHEMBL369274,10.8,CCCN(CCC)CCc1ccc(O)c(NC(=O)C)c1
CHEMBL562690,9.1,Clc1cnc(OC2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4
CHEMBL1201046,8.88,NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4CC(=O)O
CHEMBL1852508,8.6,Cc1cc(nn1C[C@H](O)CN)c2ccc(Cl)c(c2)C(=O)NCC3(O)CCCCCC3
CHEMBL1483,5.88,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
CHEMBL2110732,9.36,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN4CCCCC4
CHEMBL1789224,10.4,CNCC[C@@H](Oc1cc(ccc1C#N)C(F)(F)F)c2ccccc2
CHEMBL2158772,9.2,Cc1ccccc1C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O
CHEMBL367556,9,NC1=NC2(CCN(CC2)C(=O)c3ccc(cc3)C#N)Nc4cccc(F)c14
CHEMBL1789274,10.2,CNCC[C@@H](Oc1cc(OC)ccc1C#N)c2ccccc2
CHEMBL146419,10.5,CN(C)C1CCc2c(O)c(O)ccc2C1
CHEMBL770,10.7,C(C1=NCCN1)c2ccccc2
CHEMBL8,8.57,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
CHEMBL53046,7.7,NCCc1ccc(O)c2nc(O)ccc12
CHEMBL54,8.75,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
CHEMBL240317,6.2,O=C(N1CCN(Cc2ccccc2)CC1)c3ccccc3
CHEMBL2171026,,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4ccc(cc4)c5nn[nH]n5)cc1Cl
CHEMBL354516,9,NC1=NC(Nc2cccc(F)c12)c3ccc(F)cc3
CHEMBL51478,5.3,COc1ccnc(CSc2nc3ccccc3[nH]2)c1
CHEMBL267648,7.55,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCN(C)CC3
CHEMBL1349378,4.64,OCc1ccnc2c(O)cccc12
CHEMBL1789327,9.8,Cc1ccc(C#N)c(S[C@H](CCN)c2ccccc2)n1
CHEMBL26736,10.5,NC1CCc2cc(O)c(O)cc2C1
CHEMBL103667,6.41,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C
CHEMBL273273,10.85,CCCN(CCC)C1CCc2c(O)cccc2C1
CHEMBL1981917,6.5,NC1=Nc2ccccc2Sc3cccc(F)c13
CHEMBL562698,8.7,Clc1c(ccnc1N2CCNCC2)C(=O)NCC34CC5CC(CC(C5)C3)C4
CHEMBL550167,9.5,OCCCNCCCOc1ccc(Cl)c(c1)C(=O)NCC23CC4CC(CC(C4)C2)C3
CHEMBL2171015,8.1,Clc1ccc(OC2CCN(CC2)C3CCN(CC3)S(=O)(=O)NC(=O)c4ccccc4)cc1Cl
CHEMBL561,8.87,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12
CHEMBL6259,7.39,CN1CCN(CC1)c2cc3N(C=C(C(=O)O)C(=O)c3cc2F)c4ccc(F)cc4
CHEMBL1201212,7.59,COc1ccc(OC)c(c1)C(O)CNC(=O)CN
CHEMBL61946,8.4,CCN(CC)CCOC(=O)C1(CCCC1)c2ccccc2
CHEMBL2325014,,Nc1[nH]ncc1c2cc(Cl)ccc2Oc3cc(F)c(cc3Cl)S(=O)(=O)Nc4cscn4
CHEMBL1456,6.06,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)OCCN3CCOCC3
CHEMBL22,7.13,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL1000,7.95,OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3
CHEMBL1072,6.07,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O
CHEMBL112247,6.6,CCOC(=O)N1CCC(CC1)Nc2ccccn2
CHEMBL1789178,9.9,CNCC[C@@H](Oc1cc(Cl)ccc1C#N)c2ccccc2
CHEMBL423,9.53,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
CHEMBL2178579,8.5,Oc1c(NC(=O)Nc2cccc(F)c2Cl)ccc(Cl)c1S(=O)(=O)N3CCNCC3
CHEMBL1539253,6.6,Cc1ccnc(NCc2c(O)ccc3ccccc23)c1
CHEMBL587,10.2,CCCN(CCC)CCc1ccc(O)c2NC(=O)Cc12
CHEMBL1455477,7.1,COc1ccccc1CNc2cc(C)ccn2
CHEMBL9967,7.88,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1
CHEMBL174310,8.15,NC1=NC2(CCN(CC2)C(=O)c3ccc(cc3)C#N)Nc4c(F)ccc(F)c14
CHEMBL2207658,9.1,O[C@H](CNC(=O)c1c[nH]nc1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3
CHEMBL1221702,11,C[C@H]1CN=C(N)c2sccc2O1
CHEMBL1789155,9.7,NCC[C@@H](Sc1cc(Cl)ccc1C#N)c2ccccc2
CHEMBL46,7.73,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C
CHEMBL126,6.81,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2
CHEMBL2208422,,O[C@H](CNS(=O)(=O)c1cccc(c1)C#N)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3
CHEMBL61236,7.2,Nc1ccc2ccccc2n1
CHEMBL826,8.76,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(nc12)N3CCNCC3
CHEMBL1232461,2.1,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14
CHEMBL2158819,9.6,OC(=O)C(N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4
CHEMBL850,8.94,C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(=O)O
CHEMBL1778620,5.1,Nc1ccc(OCC(=O)O)c(c1)c2ccccc2
CHEMBL1082,7.52,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
CHEMBL303797,7.8,CCc1ncc[nH]1
CHEMBL243001,,CC(C)N1CCC[C@H](CN2C(=Nc3ccc(Oc4ccc(F)cc4)cc3C2=O)C)C1
CHEMBL184412,,CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c2c(CCCC)oc3ccc(NS(=O)(=O)C)cc23
CHEMBL2158824,8.85,OC(=O)c1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL114,7.14,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4
CHEMBL312448,10.6,Cc1cc(cc(C)c1CC2=NCCN2)C(C)(C)C
CHEMBL42,7.64,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
CHEMBL761,10.3,C(C1=NCCN1)c2cccc3ccccc23
CHEMBL61427,7.2,Cc1ccnc(N)c1N
CHEMBL2325642,10.13,Fc1cc(c(F)cc1Oc2ccc(Cl)cc2c3ccnn3C4CNC4)S(=O)(=O)Nc5ncns5
CHEMBL206200,,COCCNc1nc(N)c2nc(O)n(Cc3ccccc3)c2n1
CHEMBL2207665,7.8,CN1C=C(C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C(=CC1=O)C(F)(F)F
CHEMBL280148,8.94,CN(C)CCNc1cc(nc2ccccc12)c3ccc(cc3)N4CCN(C)CC4
CHEMBL137,2.51,Cc1ncc([N+](=O)[O-])n1CCO
CHEMBL191553,3.2,CC(=O)Nc1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1
CHEMBL505,9.35,CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2
CHEMBL112246,7.2,CCOC(=O)N1CCC(CC1)Nc2cc(OC)ccn2
CHEMBL296419,9.62,COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1
CHEMBL31789,8.5,NCC1Cc2c(O)c(O)ccc12
CHEMBL1207579,8.8,CCCc1c2OC(=CC(=O)c2cc3c(NC)cc(nc13)C(=O)O)C(=O)O
CHEMBL112866,7.2,COc1ccnc(NC2CCN(CC2)C(=O)c3ccc(Cl)cc3)c1
CHEMBL550637,7.18,Cc1ccc(cc1NC(=O)CC23CC4CC(CC(C4)C2)C3)C(=O)N5CC6CNCC(C5)O6
CHEMBL841,9.14,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4
CHEMBL9788,2.6,Cn1c(nc2ccccc12)[S+]([O-])Cc3ccccn3
CHEMBL244936,10.09,CC(C)N1CCC[C@H](CN2C(=Nc3ccc(cc3C2=O)c4ccc(Cl)cc4)C)C1
CHEMBL212521,7.3,CC[C@H](N)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C#N
CHEMBL787,5.6,CC(C)(O)c1ccccc1CC[C@@H](SCC2(CC(=O)O)CC2)c3cccc(\C=C\c4ccc5ccc(Cl)cc5n4)c3
CHEMBL1513,,CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4c5nn[nH]n5
CHEMBL1517664,6.8,Cc1ccnc(NCc2ccccc2O)c1
CHEMBL817,,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2
CHEMBL1771759,4.4,OC(=O)\C=C\c1cccnc1
CHEMBL1789148,10.1,CCC(CCNC)Oc1cc(Cl)ccc1C#N
