smiles,id,-logKd/Ki
C[NH+](C)CCCCC([NH3+])C(=O)[O-],2r58,2.0
CCc1c(C)[nH]n(-c2nnn[nH]2)c1=O,3g2y,2.0
O=C([O-])Cc1cccc(O)c1,3pce,2.0
CC1C=NC(=O)NC1=O,4qsu,2.0
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,4qsv,2.0
COC1OC(CO)C(SC2OC(CO)C(SC)C(O)C2O)C(O)C1O,1jfh,2.0499999999999998
Cn1nc(-c2ccc3c(c2)OCO3)cc1N,3ao4,2.0699999999999998
CC(=O)Nc1ccsc1C(=O)[O-],3gv9,2.1200000000000001
CC(=O)c1ccc(N2CC(C(=O)[O-])CC2=O)cc1,3gqz,2.1699999999999999
O=C(Nc1ccn(C2CC(F)C(O)C(CO)O2)c(=O)n1)c1ccccc1,3l7d,2.1800000000000002
O=C([O-])CCc1ccc2c(c1)OCO2,4ahr,2.1899999999999999
O=C([O-])c1cccc2ccoc12,4ahs,2.1899999999999999
Cc1cccc(N)c1N,4mre,2.1899999999999999
CC1OC(=O)C(O)C(O)C1O,1x8d,2.21
CC1OC(O)C(O)C(O)C1O,2aac,2.2200000000000002
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],4aci,2.2200000000000002
O=C([O-])Cc1cc(O)ccc1O,1ajp,2.23
[NH3+]C(CO)C(=O)N1CCCC1C(=O)[O-],2igv,2.23
Cn1nc(N)cc1-c1cc(Br)c2c(c1)OCO2,3ao5,2.23
Oc1ccc2c(c1)OCO2,3ao1,2.2599999999999998
Cc1[nH]cnc1C[NH+]1CCc2ccccc2C1,4np2,2.2599999999999998
[NH3+]CCc1ccccc1,1uto,2.27
O=C([O-])c1c[nH]c2ccccc12,4ahu,2.27
O=C1NC2C(O)C(O)C(O)C(CO)N2C1=O,1ps3,2.2799999999999998
O=C([O-])c1ccc2c(c1)OCO2,4ddk,2.29
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],3kgq,2.2999999999999998
Nc1nc2ccccc2s1,3mhw,2.2999999999999998
O=C([O-])Cc1ccc(O)cc1,3pcg,2.2999999999999998
NS(=O)(=O)c1ccccc1,4jsz,2.2999999999999998
OC1C2CCC(O)([NH2+]2)C(O)C1O,4iie,2.3399999999999999
O=C([O-])C1CCCCC1c1n[nH]c(S)n1,3gtc,2.3500000000000001
O=C1C=C(Nc2nnn[nH]2)CCC1,3g2z,2.3599999999999999
CC(=O)NC(C(O)CC(O)C(=O)[O-])C(O)C(O)C(O)CO,1f73,2.3900000000000001
CC(=O)NCCSSCCNC(=O)C1CCC(NC(=O)c2nccnc2C(=O)[O-])CC1,1nwl,2.3900000000000001
N=c1ccn(C2OC(CO)C(O)C(F)C2O)c(=O)[nH]1,3l7b,2.3999999999999999
C[N+](C)(C)CCO,1oba,2.4399999999999999
Nc1ncnc2c1ncn2C1OCC(O)C1O,2i2b,2.4399999999999999
O=c1[nH]c(=O)n(C2OC(CO)C(O)C(F)C2O)cc1F,3l7c,2.4399999999999999
Nc1ncc[nH]1,3mjl,2.4399999999999999
O=c1ccn(C2OC(CO)C(O)C(F)C2O)c(=O)[nH]1,3l79,2.46
O=C([O-])c1ccc2nsnc2c1,4ddm,2.46
O=C([O-])C=CC(=O)[O-],1tok,2.4700000000000002
[NH3+]CCCc1ccccc1,1utl,2.4700000000000002
O=C([O-])c1ccccc1,1gyx,2.48
CN(C)S(=O)(=O)c1ccsc1,4efk,2.4900000000000002
CC12CCC(C(=O)[O-])(OC1=O)C2(C)C,4kz7,2.4900000000000002
O=C([O-])Cc1ccc(O)c(O)c1,1ai4,2.5
O=C([O-])C1CC1C(=O)Nc1cc(F)ccc1F,3g30,2.5099999999999998
CCC1C(=O)N(c2nnn[nH]2)N=C1C,3gr2,2.52
Nc1ncc(CCC([NH3+])C(=O)[O-])[nH]1,3mfv,2.52
[NH3+]C(CCC(=O)NC(CSCCN(CCCl)c1ccc(CCCC(=O)[O-])cc1)C(=O)NCC(=O)[O-])C(=O)[O-],4hj2,2.5299999999999998
CC(C)CC([NH3+])C(=O)[O-],3b3s,2.5499999999999998
Cn1nc(-c2cccs2)cc1N,3ovn,2.5499999999999998
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1gwv,2.5699999999999998
[NH3+]Cc1ccc(C(=O)[O-])cc1,3kgp,2.5699999999999998
O=C([O-])C1CC(=O)N(c2ccccc2O)C1,3gvb,2.5899999999999999
[NH3+]C(CC(=O)[O-])C(=O)[O-],4o3c,2.5899999999999999
C[NH2+]CCCCC([NH3+])C(=O)[O-],2r5a,2.6000000000000001
COc1ccc2nc(N)sc2c1,4up5,2.6000000000000001
O=C([O-])Cc1ccc([N+](=O)[O-])cc1,1ajn,2.6299999999999999
O=C([O-])c1ccc(-c2ccccc2)nc1,4i8x,2.6400000000000001
[NH3+]C(CCC(=O)NC(CS)C(=O)NCC(=O)[O-])C(=O)[O-],3lvw,2.6699999999999999
Oc1ccc2[nH]ccc2c1,4b3c,2.6800000000000002
Cc1ccc2[nH]ccc2c1,4b3d,2.6800000000000002
N=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)cc1F,3elc,2.6899999999999999
CCC(=O)C(=O)[O-],2uyn,2.7000000000000002
[NH3+]CCc1ccc(O)cc1,3bra,2.7000000000000002
CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)CO,2qwb,2.7400000000000002
C[NH2+]CCCCC([NH3+])C(=O)[O-],2vyt,2.7400000000000002
O=C([O-])C(O)C(=O)[O-],4m6u,2.7400000000000002
COC1OC(CO)C(O)C(O)C1O,4ndu,2.7400000000000002
C=CS(=O)(=O)[O-],1rql,2.75
CC(O)C(C)(O)C(=O)[O-],4bt5,2.7599999999999998
CC(=O)Oc1c(C)cccc1C(=O)[O-],3fcq,2.77
NS(=O)(=O)c1cc(Cl)sc1C(=O)[O-],4kz3,2.77
[NH3+]Cc1ccccc1,2bza,2.7999999999999998
COc1ccc(S(N)(=O)=O)cc1,3lka,2.8199999999999998
CC1[NH2+]CCC(C(=O)[O-])[NH2+]1,3ppr,2.8199999999999998
c1ccc2[nH]cnc2c1,4dsu,2.8199999999999998
Oc1ccccc1O,4k7i,2.8199999999999998
O=C1Cc2ccccc2C1=Cc1ccc2c(c1C(=O)[O-])OCO2,3zt2,2.8399999999999999
O=C1Nc2ccccc2C12CC[NH2+]C2,3udh,2.8500000000000001
O=C([O-])c1c(C=C2c3ccccc3CC2O)ccc2c1OCO2,3zt3,2.8599999999999999
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,4ouj,2.8599999999999999
CC[NH+](CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1cet,2.8900000000000001
CCCC(=O)[O-],1ugp,2.8900000000000001
CC(C(=O)[O-])N1C(=O)C2C3CCC(C3)C2C1=O,3g31,2.8900000000000001
COC(=O)c1cccc2[nH]ccc12,4b35,2.8900000000000001
