split,dataset,model,Train score/ROC-AUC,Valid score/ROC-AUC
Index splitting,clintox,Logistic regression,0.969,0.683
Index splitting,clintox,Random forest,0.995,0.763
Index splitting,clintox,XGBoost,0.879,0.89
Index splitting,clintox,IRV,0.762,0.811
Index splitting,clintox,NN classification,0.929,0.832
Index splitting,clintox,Robust NN,0.948,0.84
Index splitting,clintox,Graph convolution,0.961,0.812
Index splitting,clintox,DAG,0.997,0.66
Index splitting,clintox,Weave,0.937,0.887
Index splitting,hiv,Logistic regression,0.861,0.731
Index splitting,hiv,Random forest,0.999,0.72
Index splitting,hiv,XGBoost,0.917,0.745
Index splitting,hiv,IRV,0.841,0.724
Index splitting,hiv,NN classification,0.712,0.676
Index splitting,hiv,Robust NN,0.74,0.699
Index splitting,hiv,Graph convolution,0.888,0.771
Index splitting,hiv,Weave,0.88,0.758
Index splitting,muv,Logistic regression,0.957,0.754
Index splitting,muv,XGBoost,0.895,0.714
Index splitting,muv,NN classification,0.9,0.746
Index splitting,muv,Robust NN,0.937,0.765
Index splitting,muv,Graph convolution,0.89,0.804
Index splitting,muv,Weave,0.749,0.764
Index splitting,pcba,Logistic regression,0.807,0.773
Index splitting,pcba,XGBoost,0.931,0.847
Index splitting,pcba,NN classification,0.819,0.792
Index splitting,pcba,Robust NN,0.812,0.782
Index splitting,pcba,Graph convolution,0.886,0.851
Index splitting,sider,Logistic regression,0.932,0.622
Index splitting,sider,Random forest,1,0.669
Index splitting,sider,XGBoost,0.829,0.639
Index splitting,sider,IRV,0.649,0.643
Index splitting,sider,NN classification,0.781,0.63
Index splitting,sider,Robust NN,0.805,0.634
Index splitting,sider,Graph convolution,0.744,0.593
Index splitting,sider,DAG,0.908,0.558
Index splitting,sider,Weave,0.622,0.599
Index splitting,tox21,Logistic regression,0.902,0.705
Index splitting,tox21,Random forest,0.999,0.736
Index splitting,tox21,XGBoost,0.891,0.753
Index splitting,tox21,IRV,0.811,0.767
Index splitting,tox21,NN classification,0.854,0.768
Index splitting,tox21,Robust NN,0.857,0.766
Index splitting,tox21,Graph convolution,0.903,0.814
Index splitting,tox21,DAG,0.871,0.733
Index splitting,tox21,Weave,0.844,0.797
Index splitting,toxcast,Logistic regression,0.724,0.577
Index splitting,toxcast,XGBoost,0.738,0.621
Index splitting,toxcast,IRV,0.662,0.643
Index splitting,toxcast,NN classification,0.83,0.684
Index splitting,toxcast,Robust NN,0.825,0.681
Index splitting,toxcast,Graph convolution,0.849,0.726
Index splitting,toxcast,Weave,0.796,0.725
Random splitting,bace_c,Logistic regression,0.952,0.86
Random splitting,bace_c,Random forest,1,0.882
Random splitting,bace_c,IRV,0.876,0.871
Random splitting,bace_c,NN classification,0.868,0.838
Random splitting,bace_c,Robust NN,0.892,0.853
Random splitting,bace_c,Graph convolution,0.849,0.793
Random splitting,bace_c,DAG,0.873,0.81
Random splitting,bace_c,Weave,0.828,0.847
Random splitting,bbbp,Logistic regression,0.978,0.905
Random splitting,bbbp,Random forest,1,0.908
Random splitting,bbbp,IRV,0.912,0.889
Random splitting,bbbp,NN classification,0.857,0.822
Random splitting,bbbp,Robust NN,0.886,0.857
Random splitting,bbbp,Graph convolution,0.966,0.87
Random splitting,bbbp,DAG,0.986,0.888
Random splitting,bbbp,Weave,0.935,0.898
Random splitting,clintox,Logistic regression,0.968,0.734
Random splitting,clintox,Random forest,0.996,0.73
Random splitting,clintox,XGBoost,0.886,0.731
Random splitting,clintox,IRV,0.793,0.751
Random splitting,clintox,NN classification,0.946,0.793
Random splitting,clintox,Robust NN,0.958,0.818
Random splitting,clintox,Graph convolution,0.965,0.908
Random splitting,clintox,DAG,0.998,0.529
Random splitting,clintox,Weave,0.927,0.867
Random splitting,hiv,Logistic regression,0.855,0.816
Random splitting,hiv,Random forest,0.999,0.85
Random splitting,hiv,XGBoost,0.933,0.841
Random splitting,hiv,IRV,0.831,0.836
Random splitting,hiv,NN classification,0.699,0.695
Random splitting,hiv,Robust NN,0.726,0.726
Random splitting,hiv,Graph convolution,0.876,0.824
Random splitting,hiv,Weave,0.872,0.819
Random splitting,muv,Logistic regression,0.954,0.722
Random splitting,muv,XGBoost,0.874,0.696
Random splitting,muv,IRV,0.69,0.63
Random splitting,muv,NN classification,0.906,0.737
Random splitting,muv,Robust NN,0.94,0.732
Random splitting,muv,Graph convolution,0.889,0.734
Random splitting,muv,Weave,0.757,0.714
Random splitting,pcba,Logistic regression,0.808,0.775
Random splitting,pcba,NN classification,0.811,0.787
Random splitting,pcba,Robust NN,0.809,0.776
Random splitting,pcba,Graph convolution,0.888,0.85
Random splitting,sider,Logistic regression,0.931,0.639
Random splitting,sider,Random forest,1,0.682
Random splitting,sider,XGBoost,0.824,0.635
Random splitting,sider,IRV,0.636,0.634
Random splitting,sider,NN classification,0.782,0.662
Random splitting,sider,Robust NN,0.807,0.661
Random splitting,sider,Graph convolution,0.732,0.666
Random splitting,sider,DAG,0.919,0.555
Random splitting,sider,Weave,0.597,0.61
Random splitting,tox21,Logistic regression,0.9,0.735
Random splitting,tox21,Random forest,0.999,0.763
Random splitting,tox21,XGBoost,0.874,0.773
Random splitting,tox21,IRV,0.807,0.77
Random splitting,tox21,NN classification,0.849,0.754
Random splitting,tox21,Robust NN,0.854,0.755
Random splitting,tox21,Graph convolution,0.901,0.832
Random splitting,tox21,DAG,0.888,0.766
Random splitting,tox21,Weave,0.844,0.812
Random splitting,toxcast,Logistic regression,0.719,0.538
Random splitting,toxcast,XGBoost,0.738,0.633
Random splitting,toxcast,IRV,0.659,0.662
Random splitting,toxcast,NN classification,0.836,0.676
Random splitting,toxcast,Robust NN,0.828,0.68
Random splitting,toxcast,Graph convolution,0.843,0.732
Random splitting,toxcast,Weave,0.785,0.718
Scaffold splitting,bace_c,Logistic regression,0.957,0.726
Scaffold splitting,bace_c,Random forest,0.999,0.728
Scaffold splitting,bace_c,IRV,0.899,0.7
Scaffold splitting,bace_c,NN classification,0.884,0.71
Scaffold splitting,bace_c,Robust NN,0.906,0.738
Scaffold splitting,bace_c,Graph convolution,0.921,0.665
Scaffold splitting,bace_c,DAG,0.839,0.591
Scaffold splitting,bace_c,Weave,0.736,0.593
Scaffold splitting,bbbp,Logistic regression,0.98,0.957
Scaffold splitting,bbbp,Random forest,1,0.955
Scaffold splitting,bbbp,IRV,0.914,0.962
Scaffold splitting,bbbp,NN classification,0.884,0.955
Scaffold splitting,bbbp,Robust NN,0.905,0.959
Scaffold splitting,bbbp,Graph convolution,0.972,0.949
Scaffold splitting,bbbp,DAG,0.94,0.855
Scaffold splitting,bbbp,Weave,0.953,0.969
Scaffold splitting,clintox,Logistic regression,0.962,0.687
Scaffold splitting,clintox,Random forest,0.994,0.664
