Model,Reference,Classifier/Regressor,Acceptable Featurizers,Backend,Comment
CNN,,Classifier/ Regressor,,Keras,
MultitaskClassifier,,Classifier,CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,PyTorch,
MultitaskFitTransformRegressor,,Regressor,CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,PyTorch,any :code:`Transformer` can be used
MultitaskIRVClassifier,,Classifier,CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,Keras/PyTorch,use :code:`IRVTransformer`
MultitaskRegressor,,Regressor,CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,Torch,
ProgressiveMultitaskClassifier,`ref <https://arxiv.org/abs/1606.04671>`_,Classifier,CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,Keras,
ProgressiveMultitaskRegressor,`ref <https://arxiv.org/abs/1606.04671>`_,Regressor,CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,Keras,
RobustMultitaskClassifier,`ref <https://pubs.acs.org/doi/abs/10.1021/acs.jcim.7b00146>`_,Classifier,CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,Keras,
RobustMultitaskRegressor,`ref <https://pubs.acs.org/doi/abs/10.1021/acs.jcim.7b00146>`_,Regressor,CircularFingerprint RDKitDescriptors CoulombMatrixEig RdkitGridFeaturizer BindingPocketFeaturizer ElementPropertyFingerprint,Keras,
SeqToSeq,`ref <https://arxiv.org/abs/1409.3215>`_,,,PyTorch,fit method: :code:`fit_sequences`
WGAN,`ref <https://arxiv.org/abs/1701.07875>`_,Adversarial,,Keras,fit method: :code:`fit_gan`
UNet, `ref <https://arxiv.org/abs/1505.04597v1>`_,Classifier/ Regressor,,PyTorch,
PINNModel, `ref <https://arxiv.org/abs/1711.10561>`_,Classifier/Regressor,,PyTorch,
