Layer, Description, Key Arguments
MultilayerPerceptron, A simple fully connected feed-forward network otherwise known as a multilayer perceptron (MLP), "[d_input, d_output, d_hidden, dropout, batch_norm, batch_norm_momentum, activation_fn, skip_connection, weighted_skip]"
CNNModule, A 1D 2D or 3D convolutional network for either regression or classification, "[n_tasks, n_features, dims, layer_filters, kernel_size, strides]"
ScaleNorm, Applies Scale Normalization by computing the sqrt(scale) and then dividing by the matrix norm of input tensor, "[scale, eps]"
MultiHeadedMATAttention, Constructs an attention layer tailored to the Molecular Attention Transformer and then converts it into Multi-headed Attention, "[dist_kernel, lambda_attention, lambda_distance, h, hsize, dropout_p, output_bias]"
MATEncoderLayer, Encoder layer for use in the Molecular Attention Transformer, "[dist_kernel, lambda_attention, lambda_distance, h, sa_hsize, sa_dropout_p, output_bias, d_input, d_hidden, d_output, activation, n_layers, ff_dropout_p, encoder_hsize, encoder_dropout_p]"
SublayerConnection, Normalizes and adds dropout to output tensor of an arbitrary layer, "[size, dropout_p]"
PositionwiseFeedForward, Defines the position-wise feed-forward (FFN) algorithm for the Molecular Attention Transformer, "[d_input, d_hidden, d_output, activation, n_layers, dropout_p, dropout_at_input_no_act]"
MATEmbedding, Embedding layer to create embedding for inputs, "[d_input, d_output, dropout_p]"
MATGenerator, Defines the linear and softmax generator step for the Molecular Attention Transformer, "[hsize, aggregation_type, d_output, n_layers, dropout_p, attn_hidden, attn_out]"
GraphNetwork, Takes a graph as input and returns an updated graph having node_features edge_features as output, "[n_node_features, n_edge_features, n_global_features, residual_connection]"
DMPNNEncoderLayer, Encoder layer for use in the Directed Message Passing Neural Network (D-MPNN), "[use_default_fdim, atom_fdim, bond_fdim, d_hidden, depth, bias, activation, dropout_p, aggregation, aggregation_norm]"
InteratomicL2Distances, Compute (squared) L2 Distances between atoms given neighbors, "[N_atoms, M_nbrs, ndim]"
RealNVPLayer, This is a constructor transformation layer used on a NormalizingFlow model, "[mask, hidden_size]"
NeighborList, Computes a neighbor-list, "[N_atoms, M_nbrs, ndim, nbr_cutoff, start, stop]"
LSTMStep, Layer that performs a single step LSTM update, "[output_dim, input_dim, init_fn, inner_init_fn, activation_fn, inner_activation_fn]"
AtomicConvolution, Implements the Atomic Convolutional transform, "[atom_types, radial_params, boxsize]"
