smiles,u0_atom
C,-417.96
CC,-712.42
C=C,-564.21
C#C,-404.88
CCO,-808.87
CC=O,-677.16
COC,-796.98
C1CC1,-860.33
CCC,-1008.49
C=CC,-861.73
C#CC,-708.37
C1CN1,-725.93
CCN,-879.38
CC#N,-618.72
CNC,-871.19
C1CO1,-653.44
CC#CC,-1010.86
C=CCC,-1159.41
C#CCC,-1003.91
C1CNC1,-1018.41
CC1CN1,-1025.03
CCCN,-1174.99
C=CC#N,-768.02
C#CC#N,-596.35
CC(C)N,-1177.16
CCC#N,-914.2
C1CCC1,-1155.53
CCNC,-1168.84
CN1CC1,-1017.37
CN(C)C,-1163.14
NC1CC1,-1029.75
C=CCN,-1028.25
C#CCN,-871.86
C1COC1,-952.57
CC1CO1,-953.49
CCCO,-1104.57
C=CC=O,-831.06
CC1CC1,-1157.46
CC(C)O,-1107.82
CC(C)=O,-980.82
CCC=O,-973.32
CCOC,-1096.09
C=COC,-953.53
OC1CC1,-956.51
C#CC=O,-667.28
C=CCO,-958.05
C#CCO,-799.52
C[CH][N]O,-816.7
CCCC,-1304.31
CC(N)=O,-872.88
CNC=O,-860.01
[CH2][N]OC,-803.46
NCCO,-974.5
CC(C)C,-1305.32
C=CC=C,-1018.95
C#CC=C,-860.26
C#CC#C,-693.01
CC=CC,-1160.57
C=C(C)C,-1161.23
CCC(C)O,-1402.97
CCC(C)=O,-1276.16
CCCC=O,-1270.08
CCCOC,-1391.77
CCOCC,-1395.15
C=COC=C,-1109.98
C=CC(C)=O,-1132.96
C#CC(C)=O,-971.15
C=CC(C)O,-1256.77
C#CC(C)O,-1099.75
C1=CCCC1,-1331.79
C=COCC,-1254.62
COC1CC1,-1242.47
CC=COC,-1251.24
COC(C)C,-1393.45
C=C(C)OC,-1251.26
C=CCOC,-1245.18
C#CCOC,-1086.74
OC1CCC1,-1255.97
O=C1CCC1,-1131.38
OCC1CC1,-1253.73
C=CC1CC1,-1306.46
O=CC1CC1,-1121.33
C#CCC=O,-966.71
C=CCCO,-1255.27
C#CCCO,-1099.93
C1=NOCC1,-980.76
c1cnoc1,-861.62
CC(C)=NO,-1119.24
CC[CH][N]O,-1113.96
CCC(N)=O,-1167.69
C#CC1CC1,-1153.75
CC(N)CO,-1275.79
CCNC=O,-1159.28
CC(O)CN,-1277.37
[CH2][N]OCC,-1102.46
CNCCO,-1267.25
CN(C)C=O,-1152.68
CNC(C)=O,-1160.91
CNCC=O,-1131.72
COCCN,-1262.44
C=CCC=C,-1310.13
C[CH][N]OC,-1105.28
NC1CC1O,-1122.73
NC1COC1,-1118.32
NCC1CO1,-1118.53
NCCCO,-1271.12
NC=CC=O,-1013.4
C=CC(N)=O,-1023.89
C#CC(N)=O,-862.34
O=C1CCN1,-1018.01
OC1CNC1,-1119.26
C#CCC=C,-1153.43
O=C1CNC1,-993.7
OCC1CN1,-1120.22
O=CC1CN1,-988.51
O=CN1CC1,-988.34
[CH2]C=C[N]O,-972.64
C#C[CH][N]O,-810.17
c1ccsc1,-977.67
c1cnsc1,-850.55
C#CCC#C,-994.68
CC=C(C)C,-1459.47
C=CC=CC,-1318.45
C#CC=CC,-1158.13
C=CC(=C)C,-1317.7
C1CCCC1,-1472.6
C#CC(=C)C,-1157.45
C=CC(C)C,-1455.85
C#CC(C)C,-1300.09
C=CC#CC,-1163.19
C#CC#CC,-947.54
CC=CCC,-1458.29
C=C(C)CC,-1458.12
CC#CCC,-1306.23
C=CCCC,-1455.34
C#CCCC,-1300.05
CC1CC1C,-1454.38
C1CCNC1,-1339
c1cc[nH]c1,-1088.23
C1=CCNC1,-1197.04
CC1CC1N,-1324.08
CC1CCN1,-1322.48
CC1(C)CN1,-1324.02
CC1CN1C,-1315.9
CC1CNC1,-1316.14
CC1NC1C,-1323.74
CC1(N)CC1,-1325.94
CC1CCC1,-1453.11
CCC1CN1,-1321.12
C=CC1CN1,-1173.81
C#CC1CN1,-1018.13
CCCCN,-1470.79
C=CCC#N,-1062.9
C#CCC#N,-903.23
CC=CCN,-1328.89
CC=CC#N,-1067.19
C=C(C)CN,-1327.3
C=C(C)C#N,-1065.62
CC1(C)CC1,-1455.68
CC(C)CN,-1471.15
CC(C)(C)N,-1474.9
CC(C)C#N,-1210.47
CC#CCN,-1174.66
CC#CC#N,-902.44
CCC(C)N,-1472.02
CCCC#N,-1210.27
CCCNC,-1464.45
CCN1CC1,-1315.05
CCNCC,-1466.4
CCC1CC1,-1453.58
C=CC(C)N,-1325.98
C#CC(C)N,-1169.33
CCN(C)C,-1459.29
CN1CCC1,-1313.49
CNC1CC1,-1318.73
CNC(C)C,-1466.12
C=CCNC,-1319.45
C#CCNC,-1161.87
CNCC#N,-1070.7
NC1CCC1,-1321.3
CCCCC,-1600.11
NCC1CC1,-1323.38
N#CC1CC1,-1063.44
N#CC1CN1,-925.91
C=CCCN,-1325.85
C#CCCN,-1170.42
N#CC=CN,-949.91
C1=COCC1,-1128.5
c1ccoc1,-1006.35
C1CCOC1,-1268.15
C1=CCOC1,-1125.26
CC(C)(C)C,-1602.07
CC1CC1O,-1250.33
CC1CCO1,-1253.18
CC1(C)CO1,-1254.34
CC1COC1,-1249.87
CC1OC1C,-1254.21
CC1(O)CC1,-1254.7
CCC1CO1,-1249.45
C=CC1CO1,-1100.59
C#CC1CO1,-945.61
CCCCO,-1400.29
CCC(C)C,-1600.27
C=CCC=O,-1123.32
CC=CCO,-1258.46
CC=CC=O,-1132.01
C=C(C)CO,-1258.28
C=C(C)C=O,-1131.64
CC(C)CO,-1401.12
CC(C)(C)O,-1406.47
CC(C)C=O,-1270.06
CC#CCO,-1104.19
CC#CC=O,-972.49
C1=CCC=C1,-1194.16
CC#CCCC,-1602.28
C=CCCCC,-1751.2
C#CCCCC,-1595.95
C1=CC2CC1N2,-1317.08
C1=NC2CC2N1,-1230.14
C1=NNC2CC12,-1213.24
C1CC1C1CN1,-1468
C1CC1N1CC1,-1462.74
C1CC2CC1N2,-1482.8
C1CC2CC2N1,-1485.76
CC1CC(C)C1,-1750.7
C1CC2CN2C1,-1484.87
C1CC2NC2C1,-1488.47
C1=CC2CN2C1,-1343.76
C1=CC2NC2C1,-1348.1
C1=CCNCC1,-1496.52
C1CCNCC1,-1639.58
C1=CNC=NC1,-1242.67
c1ccnnc1,-1105.67
C1=NN=CCC1,-1217.23
CCC1CC1C,-1750.53
C1CN2CC1C2,-1472
C1CNCCN1,-1503.98
C1=NCCCN1,-1383.11
C1=NN2CC2C1,-1206.68
C1=NNCCC1,-1363.99
C1NC1C1CN1,-1335.73
C1NC2CC1C2,-1481.17
C1NCC2CC12,-1484.5
CCC1CCC1,-1748.56
C1NCC2NC12,-1353.02
C1=NCC2CN12,-1220.23
C1=CCNN=C1,-1220.99
CC1CC1CN,-1621.35
CC1CC1(C)N,-1621.36
CC1CC1C#N,-1361.02
CC1CCC1N,-1615.55
CC1(C)CC1N,-1622.21
CC1C(C)C1N,-1619.7
CC1CCCN1,-1637.38
CCC1(C)CC1,-1750.74
CC1(C)CCN1,-1621.18
CC1CC(C)N1,-1621.32
Cc1ccc[nH]1,-1387.37
CC1CCN1C,-1612.56
CC1C(C)N1C,-1613.95
CC1CCNC1,-1635.94
C=C1CCNC1,-1492.6
CC1=CCNC1,-1497.07
CC1(C)CNC1,-1614.97
CC1CC(N)C1,-1620.31
CCCC1CC1,-1749.36
Cc1cc[nH]c1,-1386.11
Cc1cc[nH]n1,-1255.94
CC1CC=NN1,-1363.69
CC1CN1[CH][NH],-1347.89
[CH2][N]N1CC1C,-1324.33
CC1CNC1C,-1614.89
CC1C(N)C1N,-1489.58
CC1(CN)CC1,-1620.54
CC1CN(C)C1,-1608.8
C=C1CN=CN1,-1242.71
CC(C)C1CC1,-1750.35
CC1(CN)CN1,-1487.92
CC1CN=CN1,-1381.68
C=C1C=NN=C1,-1082.2
C=C1C=NNC1,-1222.72
CC1C=NN=C1,-1223.35
CC1C=NNC1,-1361.98
Cc1cn[nH]c1,-1253.88
CC1NC1(C)C,-1620.88
C=CC1NC1C,-1471.27
CCCCCC,-1895.91
C#CC1NC1C,-1317.17
CC1NC1CN,-1490.75
CC1NC1C#N,-1225.47
CC1NCC1N,-1481.86
CC1(N)CC1N,-1490.56
CC1(N)CCC1,-1622.97
CC1C=CCN1,-1494.92
CC1=NCCN1,-1385.72
CC1(N)CNC1,-1486.89
CC(C)C(C)C,-1894.96
CC1=NNCC1,-1366.64
CC1=NN=CC1,-1230.06
CCC1CC1N,-1620.26
CCC1CCN1,-1617.81
C=CC1CCN1,-1469.62
C#CC1CCN1,-1314.51
CCC1(C)CN1,-1619.05
CCC1CN1C,-1612.35
CCC1CNC1,-1611.45
C=CC1CNC1,-1464.04
CCC(C)CC,-1894.91
C#CC1CNC1,-1311.9
CCC1NC1C,-1619.42
CCC1(N)CC1,-1623.38
CCCC1CN1,-1615.87
C=CCC1CN1,-1471.88
C#CCC1CN1,-1314.5
CC=CC1CN1,-1473.01
C=C(C)C1CN1,-1472.82
CC(C)C1CN1,-1617.95
CC#CC1CN1,-1320.97
CCC(C)(C)C,-1896.03
C1CC1C1CC1,-1600.75
CCCCCN,-1766.6
C#CC(=C)C#N,-1058.34
C=CC=CC#N,-1224.22
C=CC(=C)C#N,-1220.44
C=CC#CC#N,-1053.94
C=CCCC#N,-1360.57
C#CC=CC#N,-1062.67
C#CC#CC#N,-884.17
C#CCCC#N,-1204.12
CC=CCCN,-1624.79
CCCC(C)C,-1896.03
CC=C(C)CN,-1625.89
CC=C(C)C#N,-1365.77
CC=CC(C)N,-1625.6
CC=CCC#N,-1362.59
C=C(C)CCN,-1624.54
C=C(C)CC#N,-1362.55
C=CC(C)C#N,-1359.44
CC(C)CCN,-1766.7
CC(C)=CCN,-1626.31
CC(C)=CC#N,-1368.53
C1=CC2CC1C2,-1456.06
CC(C)(C)CN,-1767.11
CC(C)(C)C#N,-1506.73
CC(C)C(C)N,-1767.17
CC(C)CC#N,-1507.23
C#CC(C)C#N,-1199.56
CC#CCCN,-1472.85
CC#CC(C)N,-1472.08
CC#CCC#N,-1207.02
CCC=CCN,-1624.5
CCC=CC#N,-1364.82
C1=CC2CC2C1,-1480.58
C=C(CC)CN,-1623.4
C=C(C#N)CC,-1363
CCC(C)CN,-1765.71
CCC(C)(C)N,-1768.93
CCC(C)C#N,-1505.93
CCC#CCN,-1470.05
CCC#CC#N,-1198.02
CCCC(C)N,-1768.13
CCCCC#N,-1506.3
CCCCNC,-1760.25
c1ccccc1,-1387.27
CCC(C)NC,-1760.97
C[CH]C=C[N]N,-1348.49
[CH2]C(C)=C[N]N,-1343.55
C=CC(C)=NN,-1343.91
CC(C)[CH][N]N,-1485.53
CC#C[CH][N]N,-1191.43
C1=CCC=CC1,-1491.18
CCC(C)=NN,-1489.15
CCC[CH][N]N,-1483.47
CCCN1CC1,-1610.85
C=CCN1CC1,-1464.77
C#CCN1CC1,-1307.46
CC(C)N1CC1,-1613.17
CCCNCC,-1762.03
C=CC(C)(C)N,-1622.6
C#CC(C)(C)N,-1466.65
C1=CCCC=C1,-1489.21
CC(C)N(C)C,-1753.9
C=CC(C)CN,-1621.45
C#CC(C)CN,-1466.65
CCC(N)CC,-1767.95
C=CC(N)CC,-1621.99
C#CC(N)CC,-1465.19
CCCN(C)C,-1754.9
C=C(C#N)C#N,-963.04
C=CCNC=N,-1361.99
C1=CCCCC1,-1632.17
CC(C#N)=CN,-1246.59
CC(C)(N)CN,-1640.73
CC(C)NC=N,-1510.68
CC(C#N)C#N,-1105.98
CC(CN)CN,-1636.46
CCC(N)CN,-1637.73
CCCNC=N,-1508.82
[CH2]C=C[N][N][CH2],-1205.73
[CH2][N]NCC=C,-1332.39
C=CC1CC1C,-1603.59
[CH2][N][N][C](C)C,-1351.27
[CH2][N]NC(C)C,-1480.12
CC[CH][N]NC,-1481.64
[CH2][N][N][CH]CC,-1346.96
CCC(=N)NC,-1509.69
[CH2][N]NCCC,-1478.64
CCN1CC1C,-1613.97
CCN1CCC1,-1610.87
CCNC1CC1,-1616.39
CC(N)C1CC1,-1621.33
C#CC1CC1C,-1451.07
CC(N)C1CN1,-1487.82
C=C(C)C(C)N,-1624.37
C=CCC(C)N,-1623.21
C#CCC(C)N,-1466.31
CCN(C)CC,-1754.89
CCNC(C)C,-1763.55
C=CCNCC,-1617.04
C#CCNCC,-1459.54
CCNCCN,-1632.24
CC(N)CCN,-1638.56
C=C1CCCC1,-1626.96
C1CC2CC1C2,-1615.66
CC(N)=CC#N,-1252.07
CC(N)C(C)N,-1640.4
CCN(C)C=N,-1502.58
CCNC(C)=N,-1514.71
CCNCC#N,-1370.03
CC[N][CH]NC,-1504
[CH2][N]N(C)CC,-1467.09
C[CH][N]N1CC1,-1329.86
CC(=N)N1CC1,-1350.08
C[CH][N][N][CH]C,-1354.37
C=C1C=CC=C1,-1351.31
C[CH][N]N(C)C,-1472.15
C#CC(C)=NN,-1187.63
C[CH][N]NCC,-1483.97
CN1CC1(C)C,-1612.39
C=CC1CN1C,-1465.22
C#CC1CN1C,-1309.73
CN1CC1CN,-1482.66
CN1CC1C#N,-1217.97
Cn1cccc1,-1379.4
C=C1CC=CC1,-1485.72
CN1CCCC1,-1631.67
CN1CC=CC1,-1486.28
Cn1cccn1,-1249.22
CN1CCC=N1,-1357.4
CN1CC(N)C1,-1481.4
CN1C=NCC1,-1373.65
CNC1CC1C,-1615.68
CNC1CC1N,-1485.61
CNC1CCC1,-1609.73
C=C1C=CCC1,-1490.87
CNC1(C)CC1,-1614.45
CNC1CNC1,-1472.92
CNCC1CC1,-1613.82
CN(C)C1CC1,-1609.71
CNCC1CN1,-1480.93
C=CCN(C)C,-1610.2
C#CCN(C)C,-1452.85
CNC(C)(C)C,-1761.46
C=CC(C)NC,-1616.19
C#CC(C)NC,-1458.86
CC1=CCCC1,-1631.75
CC=CCNC,-1618.56
CNCC(C)C,-1760.75
C=C(C)CNC,-1618.53
CC#CCNC,-1464.53
C=CCCNC,-1615.42
C#CCCNC,-1460.05
CNCCCN,-1630.9
C=CN(C)C=N,-1362.85
CN(C)CCN,-1624.59
CC(=N)N(C)C,-1502.55
CC1=CC=CC1,-1493.29
CN(C)CC#N,-1361.68
CNC(C)CN,-1631.59
CNC(C)C#N,-1368.01
CNCC(C)N,-1631.67
CNCCC#N,-1369.95
CNCCNC,-1623.94
