smiles,zinc_id,mwt,logp,reactive,purchasable,tranche_name
CCN(CCSC)C(=O)N[C@@](C)(CC)C(F)(F)F,ZINC000933510105,286.363,3.112,0,20,CGAD
CC1(C)CN(C(=O)Nc2cc3ccccc3nn2)C[C@@]2(CCOC2)O1,ZINC000888615590,342.399,2.432,0,20,EEAD
CC[C@H](NC(C)=O)C(=O)NCC1(NC(=O)Cc2nonc2C)CC1,ZINC001432326999,337.38,-0.4,0,20,EBAD
O=C(N[C@@H]1CC[C@H](F)C1)[C@H]1C[C@@H]1c1ccc2c(c1)OCCO2,ZINC000345651486,305.349,2.568,0,20,DFAD
COCC(=O)N(C)CC(=O)NCC1(Nc2nccn3nnnc23)CC1,ZINC001110378235,348.367,-1.315,0,20,EAAD
C[C@H](C[C@H](C)N)NC(=O)C(=O)NCCCN1C(=O)CNC1=O,ZINC001327056365,313.358,-1.714,0,20,DAAD
CC(C)(C(N)=O)C(=O)N[C@@H]1CN([C@H]2CCNC2=O)C[C@H]1O,ZINC001193940832,298.343,-2.452,0,20,CAAD
Cc1ccc(C(=O)N2CC[C@@H]2CNC(=O)[C@H]2[C@@H]3COC[C@@H]32)cc1,ZINC000951655579,314.385,1.218,0,20,DDAD
COc1ccc(C(=O)NCC2(NCC=C(C)C)CCC2)cc1,ZINC001754991192,302.418,2.904,0,20,DFAD
CCNC(=O)CC(=O)NC[C@@H](CO)N[C@@H](C)c1nncn1C,ZINC001755626142,312.374,-1.531,0,20,DAAD
CCn1nncc1CN1C[C@@H](O)[C@H](NC(=O)C2=COCCC2)C1,ZINC001076791954,321.381,-0.34600000000000003,0,20,DBAD
CN(C)C(=O)CN1C[C@@H]2COC[C@H](C1)N2C(=O)[C@@H]1CCCOC1,ZINC001271494958,325.409,-0.5870000000000001,0,20,EBAD
O=C(O)CC1(C(=O)NCCc2ccccc2O)CCOCC1,ZINC000663039167,307.346,1.3219999999999998,0,20,DDAD
CCCC(=O)N1CC(N2C[C@H](NC(=O)[C@@H]3CC34CC4)CC2=O)C1,ZINC000995507333,319.405,0.515,0,20,DCAD
CC[C@@H]1CN(C(=O)N[C@@H]2CCCc3c2cnn3C)[C@@H](C)CO1,ZINC000650679373,306.41,2.006,0,20,DEAD
O=C(Cc1nc2ncccn2n1)NC1CCN(Cc2ccon2)CC1,ZINC001004137848,341.375,0.436,0,20,ECAD
O=C(O)c1cc(S(=O)(=O)NC2CC3(CCC3)C2)on1,ZINC000700051447,286.309,0.984,0,20,CCAD
CCc1nnc(CN2C[C@H]3OCCN(C(=O)CNC(C)=O)[C@H]3C2)o1,ZINC001217212233,337.38,-0.82,0,20,EBAD
CCCOc1ccc(C(=O)NCCc2n[nH]c(C)n2)cc1OCCC,ZINC000264328442,346.431,2.6630000000000003,0,20,EFAD
O=C(NCCN1CCNC(=O)C1)NCc1ccc2c(c1)CCO2,ZINC000541903791,318.377,-0.14800000000000002,0,20,DBAD
C[C@H](NC(=O)N1CC[C@@H](c2ccccc2)C1)c1ccn(C)n1,ZINC000334796075,298.39,2.68,0,20,CFAD
C[C@@H]1C[C@H](NC(=O)c2cn(C)nn2)CCN1CC(=O)N(C)C,ZINC000947261538,308.386,-0.514,0,20,DBAD
Cc1cnc(COCC(=O)N2CC(NC(=O)CCn3cncn3)C2)o1,ZINC001415975466,348.36300000000006,-0.4920000000000001,0,20,EBAD
Cc1coc(C(=O)N2CCCC[C@H]2[C@H]2CCCN2CC(=O)N(C)C)c1,ZINC001025258843,347.459,2.135,0,20,EEAD
Cn1nc(C(=O)NCCCNCCO)cc1C(F)(F)F,ZINC001158839641,294.277,0.141,0,20,CCAD
CN1C[C@@H]2C[C@H]1CN2Cc1cccc2c1CCN2C(=O)OC(C)(C)C,ZINC001236977541,343.471,2.873,0,20,EFAD
COCCCN(C)CCNC(=O)C(=O)N1CCNC(=O)C1,ZINC000357586056,300.3590000000001,-1.971,0,20,DAAD
C[C@@H](O)CCCN1C[C@@H]2CCN(C(=O)COCc3ccncc3)[C@@H]2C1,ZINC001189543679,347.459,1.2919999999999998,0,20,EDAD
CCN1CC[C@H](NC(=O)C(=O)NC[C@H]2NC(C)(C)O[C@@H]2C)C1=O,ZINC001331955482,326.397,-1.047,0,20,EAAD
CCN1C[C@@H]2CCN(C(=O)c3cnn4cc(C)cnc34)[C@@H]2C1,ZINC001076308056,299.378,1.204,0,20,CDAD
N[C@@H]1NCN(C(=O)c2ccc(-n3cncn3)nc2)[C@H]2NCN[C@@H]21,ZINC001193700203,315.341,-2.205,0,20,DAAD
CNS(=O)(=O)CCNC(=O)N[C@@](C)(CO)C1CC1,ZINC000784668443,279.362,-1.004,0,20,CAAD
CCCC(=O)N[C@H]1CN(C(=O)c2cnc3n2CCC3)C[C@@H]1C,ZINC001072358519,304.394,1.206,0,20,DDAD
N[C@H](Cc1cn(CCc2cccnc2)nn1)C(=O)O,ZINC000157734251,261.285,-0.13,0,20,CBAD
CN[C@H]1C[C@H]2CC[C@H]1N2C(=O)c1ccccc1CN1CCCCC1,ZINC001275457983,327.472,2.637,0,20,EFAD
COc1ncc(C(=O)N[C@H]2CCN(Cc3cncn3C)C[C@@H]2O)cn1,ZINC001090698402,346.391,-0.416,0,20,EBAD
CN1C[C@H](C(=O)N2C[C@H]3CC[C@@H](C2)N3C(=O)C(N)=O)CC1=O,ZINC000969797459,308.338,-1.848,0,20,DAAD
COc1ccc(C[C@@H](C)C(=O)Nc2ccc(OCCO)cc2)cc1,ZINC000089197910,329.396,2.884,0,20,EFAD
