rule_id,rule_set,description,smarts,rule_set_name,priority,max
1,1,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]",Glaxo,8,0
2,1,R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]",Glaxo,8,0
3,1,R3 Carbazides,O=CN=[N+]=[N-],Glaxo,8,0
4,1,R4 Sulphate esters,"COS(=O)O[C,c]",Glaxo,8,0
5,1,R5 Sulphonates,"COS(=O)(=O)[C,c]",Glaxo,8,0
6,1,R6 Acid anhydrides,C(=O)OC(=O),Glaxo,8,0
7,1,R7 Peroxides,OO,Glaxo,8,0
8,1,R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),Glaxo,8,0
9,1,R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1,Glaxo,8,0
10,1,R10 esters of HOBT,C(=O)Onnn,Glaxo,8,0
11,1,R11 Isocyanates & Isothiocyanates,"N=C=[S,O]",Glaxo,8,0
12,1,R12 Triflates,OS(=O)(=O)C(F)(F)F,Glaxo,8,0
13,1,R13 lawesson's reagent and derivatives,P(=S)(S)S,Glaxo,8,0
14,1,R14 phosphoramides,NP(=O)(N)N,Glaxo,8,0
15,1,R15 Aromatic azides,cN=[N+]=[N-],Glaxo,8,0
16,1,R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]",Glaxo,8,0
17,1,R17 acylhydrazide,[N;R0][N;R0]C(=O),Glaxo,8,0
18,1,"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]",Glaxo,8,0
19,1,R19 Phosphoranes,C=P,Glaxo,8,0
20,1,R20 Chloramidines,[Cl]C([C&R0])=N,Glaxo,8,0
21,1,R21 Nitroso,[N&D2](=O),Glaxo,8,0
22,1,R22 P/S Halides,"[P,S][Cl,Br,F,I]",Glaxo,8,0
23,1,R23 Carbodiimide,N=C=N,Glaxo,8,0
24,1,R24 Isonitrile,[N+]#[C-],Glaxo,8,0
25,1,R25 Triacyloximes,C(=O)N(C(=O))OC(=O),Glaxo,8,0
26,1,R26 Cyanohydrins,N#CC[OH],Glaxo,8,0
27,1,R27 Acyl cyanides,N#CC(=O),Glaxo,8,0
28,1,R28 Sulfonyl cyanides,S(=O)(=O)C#N,Glaxo,8,0
29,1,R29 Cyanophosphonates,P(OCC)(OCC)(=O)C#N,Glaxo,8,0
30,1,R30 Azocyanamides,[N;R0]=[N;R0]C#N,Glaxo,8,0
31,1,R31 Azoalkanals,[N;R0]=[N;R0]CC=O,Glaxo,8,0
32,1,I1 Aliphatic methylene chains 7 or more long,[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],Glaxo,8,0
33,1,I2 Compounds with 4 or more acidic groups,"[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH].[C,S,P](=O)[OH]",Glaxo,8,0
34,1,I3 Crown ethers,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],Glaxo,8,0
35,1,I4 Disulphides,SS,Glaxo,8,0
36,1,I5 Thiols,[SH],Glaxo,8,0
